Accounts,Category Name,Total Views,Unique viewers,Comments,Total Likes,Business Account,Professional Account
ambkcrypto,Personal Goods & General Merchandise Stores,196,106,4,4,yes,yes
amandasvp,Business & Utility Services,720,448,9,1264,yes,yes
aluraonline,Professional Services,99107,445,6,35,yes,yes
altsense_,Business & Utility Services,20780,376,11,24,yes,yes
altalabshq,Business & Utility Services,166,37,6,339,yes,yes
arun_career_mentor,Professional Services,331,147,8,405,yes,yes
artificiumtech,Business & Utility Services,695,23,2,4366,yes,yes
arthlight,Personal Goods & General Merchandise Stores,2466,68,5,141,yes,yes
arshadworldwide,Creators & Celebrities,721,383,1,438,yes,yes
arpitcodes,Creators & Celebrities,657,96,7,410,yes,yes
arkinfosoft,Business & Utility Services,193,228,9,128,yes,yes
archisacademy,Professional Services,2418,508,24,29,yes,yes
aptech._,Publishers,287,148,5,104,yes,yes
apptec.latam,Personal Goods & General Merchandise Stores,247,94,2,242,yes,yes
appsoluts,Business & Utility Services,439,66,6,217,yes,yes
appsmaven,Personal Goods & General Merchandise Stores,1015,833,4,2221,yes,yes
anuj.kumar.sharma,Professional Services,19490,32,3,14,yes,yes
ayush07x,null,460,97,8,93,no,yes
ayman.bell,null,190,8,0,655,no,no
awescode,Business & Utility Services,250,414,1,57,yes,yes
avilagoworld,Personal Goods & General Merchandise Stores,2201,384,8,5052,yes,yes
automationminds,Business & Utility Services,169,169,4,875,yes,yes
authority.digital,Business & Utility Services,369,84,5,1187,yes,yes
attar.nasrin91,Professional Services,3956,70,38,600,yes,yes
atherosai,null,2141,70,7,323,no,yes
astaqcconsulting,null,743,225,6,89,no,yes
bigdataprincess,null,697,215,10,229,yes,yes
beyondthesketchltd,Personal Goods & General Merchandise Stores,140,170,6,375,yes,yes
beyondhelloworld,Creators & Celebrities,2482,88,2,1267,yes,yes
berta.codes,Creators & Celebrities,38455,324,12,172,yes,yes
beginnerbugs,Personal Goods & General Merchandise Stores,386,64,3,1284,yes,yes
baystastic,Business & Utility Services,381,131,1,1073,yes,yes
battlesnakeofficial,Business & Utility Services,200,246,0,182,yes,yes
baspixels,General Interest,1339,293,3,2031,yes,yes
bart.code,Business & Utility Services,3684,76,5,7,yes,yes
blondiebytes,Professional Services,8368,500,2,419,yes,yes
blogkafem,Creators & Celebrities,115,37,2,16,yes,yes
blexinsrl,Business & Utility Services,158,320,0,247,yes,yes
black_coders,Publishers,14142,499,0,247,yes,yes
bitsof_jarvis,Creators & Celebrities,154,205,1,282,yes,yes
bitmagicgroup,Business & Utility Services,345,16,0,915,yes,yes
bitexpertuae,Professional Services,1437,494,7,40,yes,yes
bingebots,Creators & Celebrities,869,44,12,296,yes,yes
binary.breaker,Business & Utility Services,7837,379,5,401,yes,yes
cads_tedu,null,240,119,2,45,yes,yes
bullesoft,Business & Utility Services,520,23,5,605,yes,yes
budding_coders,Professional Services,1201,32,3,72,yes,yes
challengers.sahyadri,Personal Goods & General Merchandise Stores,538,107,5,76,yes,yes
cforcoding,Publishers,3429,483,3,43,yes,yes
cecropiacolombia,Business & Utility Services,175,149,0,108,yes,yes
cecropiasolutions,Personal Goods & General Merchandise Stores,123,138,0,63,yes,yes
copysolo_,null,200,31,5,129,yes,yes
convergence.ai,Non-Profits & Religious Organizations,132,113,7,36,yes,yes
control_shifter,Creators & Celebrities,1588,152,4,250,yes,yes
conceptlz.ae,Business & Utility Services,266,170,2,93,yes,yes
computermems,General Interest,3270,101,0,7,yes,yes
compiler_geek,null,1251,161,14,195,no,yes
cogni.wonk,Professional Services,542,47,1,65,yes,yes
_codoholic,Creators & Celebrities,235,29,0,1046,yes,yes
coding.vibes,Non-Profits & Religious Organizations,15715,345,21,1902,yes,yes
coding_panda,null,967,51,5,35,yes,yes
codingmermaid,Business & Utility Services,2582,129,13,988,yes,yes
coding._memes,Creators & Celebrities,258,170,0,289,yes,yes
codingget,Personal Goods & General Merchandise Stores,311,328,0,1657,yes,yes
codingerror,Creators & Celebrities,1436,95,0,31,yes,yes
codingcomplete,Personal Goods & General Merchandise Stores,131,8,0,254,yes,yes
codingcommanders,Professional Services,2109,487,0,304,yes,yes
coding_boy_,null,117254,854,13,45,no,yes
coding_bees,Business & Utility Services,1079,111,0,583,yes,yes
